년도,역명,월,역번호,승차인원,하차인원,_source_file
2024,갈마,8,1113,84512,84780,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,9,1113,77547,77991,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,10,1113,86979,86596,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,11,1113,86631,86814,대전교통공사_역별 수송실적_20241231.csv
2024,갈마,12,1113,87271,88061,대전교통공사_역별 수송실적_20241231.csv
2026,갈마,1,1113,86945,88362,대전교통공사_역별 수송실적_20260731.csv
2026,갈마,2,1113,76851,78237,대전교통공사_역별 수송실적_20260731.csv
2026,갈마,3,1113,90221,91046,대전교통공사_역별 수송실적_20260731.csv
2026,갈마,4,1113,92667,93186,대전교통공사_역별 수송실적_20260731.csv
2026,갈마,5,1113,91696,92401,대전교통공사_역별 수송실적_20260731.csv
2026,갈마,6,1113,88509,88311,대전교통공사_역별 수송실적_20260731.csv
2026,갈마,7,1113,87188,87830,대전교통공사_역별 수송실적_20260731.csv
2015,갑천,1,1115,33925,32950,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,2,1115,28176,27137,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,3,1115,35817,35317,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,4,1115,35060,34257,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,5,1115,36009,35654,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,6,1115,28939,27944,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,7,1115,32100,30544,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,8,1115,30318,28782,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,9,1115,31319,29934,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,10,1115,33400,32979,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,11,1115,31698,30967,대전교통공사_역별 수송실적_20151231.csv
2015,갑천,12,1115,33212,32085,대전교통공사_역별 수송실적_20151231.csv
2016,갑천,1,1115,31294,30363,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,2,1115,28973,28144,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,3,1115,34302,33425,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,4,1115,33397,33173,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,5,1115,35175,33883,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,6,1115,32889,31856,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,7,1115,30320,29057,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,8,1115,30793,29403,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,9,1115,30001,28995,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,10,1115,33429,33092,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,11,1115,31827,31346,대전교통공사_역별 수송실적_20161231.csv
2016,갑천,12,1115,33294,32031,대전교통공사_역별 수송실적_20161231.csv
2017,갑천,1,1115,29792,28703,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,2,1115,29878,28903,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,3,1115,34509,33343,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,4,1115,33113,33127,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,5,1115,33500,32499,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,6,1115,32358,31229,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,7,1115,29073,27934,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,8,1115,29341,28171,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,9,1115,32596,32098,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,10,1115,29799,29927,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,11,1115,32840,32285,대전교통공사_역별 수송실적_20171231.csv
2017,갑천,12,1115,31953,31206,대전교통공사_역별 수송실적_20171231.csv
2018,갑천,1,1115,31235,30620,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,2,1115,27165,26337,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,3,1115,33081,32741,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,4,1115,31823,31326,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,5,1115,32900,32143,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,6,1115,31069,30820,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,7,1115,29388,28391,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,8,1115,28948,27807,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,9,1115,27134,26776,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,10,1115,31317,31351,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,11,1115,30726,30461,대전교통공사_역별 수송실적_20181231.csv
2018,갑천,12,1115,29715,29656,대전교통공사_역별 수송실적_20181231.csv
2019,갑천,1,1115,30086,30191,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,2,1115,25968,25838,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,3,1115,30973,31026,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,4,1115,31653,31734,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,5,1115,33043,32450,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,6,1115,30039,29808,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,7,1115,31052,30079,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,8,1115,28802,27848,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,9,1115,27749,27224,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,10,1115,31391,31524,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,11,1115,30760,29972,대전교통공사_역별 수송실적_20191231.csv
2019,갑천,12,1115,30972,30333,대전교통공사_역별 수송실적_20191231.csv
2020,갑천,1,1115,28106,27546,대전교통공사_역별 수송실적_20200531.csv
2020,갑천,2,1115,22839,22154,대전교통공사_역별 수송실적_20200531.csv
2020,갑천,3,1115,16869,16022,대전교통공사_역별 수송실적_20200531.csv
2020,갑천,4,1115,19651,19034,대전교통공사_역별 수송실적_20200531.csv
2020,갑천,5,1115,23372,22570,대전교통공사_역별 수송실적_20200531.csv
2020,갑천,6,1115,22544,21418,대전교통공사_역별 수송실적_20211231.csv
